Final_Score,Responses,OrgLowest,OrgMiddle,OrgHighest
8.4,345,5.5,9,9.8
8.1,1080,7,8.2,9
9.2,257,8.5,9,9.5
8.3,1521,7,8.2,9
8.2,796,7,8.2,9
9.2,611,5.5,9,9.8
8.8,280,8.5,9,9.5
8.3,604,7,8.2,9
8.4,621,7,8.2,9
9.3,448,8.5,9,9.5
8.2,1016,7,8.2,9
8,1464,7,8.2,9
8.6,334,5.5,9,9.8
8.6,1078,7,8.2,9
7.8,215,5.5,9,9.8
8.8,1676,7,8.2,9
8,1582,7,8.2,9
8.4,758,7,8.2,9
8.2,474,7,8.2,9
8.5,3489,7,8.2,9
9.1,324,8.5,9,9.5
7.9,2791,7,8.2,9
9,327,8.5,9,9.5
8,1541,7,8.2,9
9,466,8.5,9,9.5
8,1537,7,8.2,9
8.4,110,8.5,9,9.5
9.2,495,5.5,9,9.8
9.1,594,8.5,9,9.5
9.7,384,5.5,9,9.8
9,99,5.5,9,9.8
8.9,466,8.5,9,9.5
7.8,676,7,8.2,9
8.7,783,5.5,9,9.8
9.4,631,5.5,9,9.8
8.1,1035,7,8.2,9
8.7,416,5.5,9,9.8
8.5,468,8.5,9,9.5
7.8,1300,7,8.2,9
9.1,99,5.5,9,9.8
8.7,166,5.5,9,9.8
8,568,7.4,8,9.1
9.2,215,8.5,9,9.5
8.4,427,8.5,9,9.5
8.3,1000,7,8.2,9
9,656,8.5,9,9.5
9,885,5.5,9,9.8
9.2,363,5.5,9,9.8
7.9,941,7,8.2,9
8.6,147,5.5,9,9.8
9.2,344,8.5,9,9.5
8.2,818,7.4,8,9.1
8.2,779,7,8.2,9
9.1,690,8.5,9,9.5
9.3,192,8.5,9,9.5
8.3,677,7,8.2,9
9.3,501,5.5,9,9.8
8.6,456,5.5,9,9.8
9.2,158,5.5,9,9.8
9.1,126,5.5,9,9.8
8.4,191,7,8.2,9
7.2,1576,7,8.2,9
9.1,237,5.5,9,9.8
8.9,555,5.5,9,9.8
9.3,772,5.5,9,9.8
8.3,849,7,8.2,9
9.1,182,8.5,9,9.5
8.8,195,8.5,9,9.5
8.8,712,7,8.2,9
8.8,256,5.5,9,9.8
8.2,315,5.5,9,9.8
9.6,295,5.5,9,9.8
8.1,688,7,8.2,9
7.5,300,7,8.2,9
8.5,252,5.5,9,9.8
7.5,370,7,8.2,9
8.6,483,7,8.2,9
8.1,497,5.5,9,9.8
9,484,5.5,9,9.8
8.7,288,5.5,9,9.8
8,530,7,8.2,9
9.7,264,5.5,9,9.8
8.6,384,7,8.2,9
7.5,648,7,8.2,9
8.7,3166,7,8.2,9
8,1976,7,8.2,9
8.3,627,7,8.2,9
7.9,2257,7,8.2,9
7.5,2280,7,8.2,9
7.5,515,7,8.2,9
8.5,1404,7,8.2,9
8.3,1853,7,8.2,9
8.1,1978,7,8.2,9
8,767,7,8.2,9
9.2,162,8.5,9,9.5
7.2,772,7,8.2,9
6.7,141,5.5,9,9.8
8.2,628,7,8.2,9
8.8,691,8.5,9,9.5
8,438,7,8.2,9
9.3,259,8.5,9,9.5
9.3,405,5.5,9,9.8
8.2,531,7,8.2,9
8.3,1874,7,8.2,9
9.1,205,5.5,9,9.8
8.5,686,7,8.2,9
9,315,8.5,9,9.5
8.9,261,8.5,9,9.5
9.3,107,5.5,9,9.8
7.8,1086,7,8.2,9
8.3,658,7,8.2,9
8.3,682,7,8.2,9
7.9,5179,7,8.2,9
8.9,650,8.5,9,9.5
8.3,1254,7,8.2,9
8.9,559,5.5,9,9.8
8,712,7,8.2,9
9.4,150,8.5,9,9.5
8.6,326,5.5,9,9.8
9.4,303,5.5,9,9.8
8.6,886,7,8.2,9
8.8,165,8.5,9,9.5
8.4,638,7,8.2,9
8.3,42,5.5,9,9.8
9.2,624,5.5,9,9.8
9.3,235,5.5,9,9.8
9,485,5.5,9,9.8
9.7,1249,5.5,9,9.8
9.4,179,8.5,9,9.5
8.3,728,7,8.2,9
9.2,295,8.5,9,9.5
8.3,531,5.5,9,9.8
8.4,521,5.5,9,9.8
8,1947,7,8.2,9
9.4,246,5.5,9,9.8
7.7,311,5.5,9,9.8
7.9,1445,7,8.2,9
8.1,692,7,8.2,9
8.4,248,5.5,9,9.8
8.8,330,5.5,9,9.8
9.1,196,5.5,9,9.8
8.9,231,8.5,9,9.5
8,1573,7,8.2,9
8.5,1538,7,8.2,9
9,201,8.5,9,9.5
8,485,7,8.2,9
8.4,1045,7,8.2,9
9.3,460,8.5,9,9.5
8.6,1059,7,8.2,9
9,254,7,8.2,9
8.8,778,7.4,8,9.1
8.5,414,5.5,9,9.8
8.7,741,5.5,9,9.8
8.3,997,7,8.2,9
8.1,1578,7,8.2,9
9.4,173,5.5,9,9.8
8.6,2140,7,8.2,9
8.5,1130,7,8.2,9
8.1,1705,7,8.2,9
8.1,2168,7,8.2,9
8.5,1606,7,8.2,9
8.2,365,7,8.2,9
7.7,1458,7,8.2,9
8.4,972,7,8.2,9
9.1,437,8.5,9,9.5
8.8,960,7,8.2,9
7.8,886,7,8.2,9
9.2,284,5.5,9,9.8
7.7,192,7,8.2,9
7.8,822,7,8.2,9
8.7,1865,7,8.2,9
8.4,477,7,8.2,9
8.5,1721,7,8.2,9
7.8,496,7,8.2,9
8.2,746,7,8.2,9
8.3,220,5.5,9,9.8
8.9,241,5.5,9,9.8
8.1,1345,7,8.2,9
8.2,816,8.5,9,9.5
7.5,817,7,8.2,9
7,528,7,8.2,9
7.8,287,8.5,9,9.5
9.4,129,5.5,9,9.8
9.2,187,5.5,9,9.8
9,121,5.5,9,9.8
8.5,501,7,8.2,9
9.1,173,7.4,8,9.1
9.3,351,5.5,9,9.8
8.9,153,5.5,9,9.8
6.9,315,5.5,9,9.8
7.7,770,7,8.2,9
9,252,5.5,9,9.8
9.1,693,5.5,9,9.8
8,206,5.5,9,9.8
9.1,161,5.5,9,9.8
8.2,35,5.5,9,9.8
9.1,143,5.5,9,9.8
9.2,295,5.5,9,9.8
9.3,275,5.5,9,9.8
9.1,535,5.5,9,9.8
9.3,101,5.5,9,9.8
9,223,5.5,9,9.8
9.3,1030,5.5,9,9.8
9,245,5.5,9,9.8
9.8,236,5.5,9,9.8
8,339,5.5,9,9.8
9.4,520,5.5,9,9.8
9.7,184,5.5,9,9.8
9.1,495,5.5,9,9.8
8.8,90,5.5,9,9.8
9,242,5.5,9,9.8
9.2,450,5.5,9,9.8
8.7,412,5.5,9,9.8
9.3,426,5.5,9,9.8
9.2,287,5.5,9,9.8
9.7,346,5.5,9,9.8
9.1,165,5.5,9,9.8
8.8,106,5.5,9,9.8
8.9,141,5.5,9,9.8
9.7,304,5.5,9,9.8
8.7,410,5.5,9,9.8
8.6,567,5.5,9,9.8
9.8,493,5.5,9,9.8
9.2,337,5.5,9,9.8
7.7,220,5.5,9,9.8
8.7,169,5.5,9,9.8
8.6,157,5.5,9,9.8
9.3,264,5.5,9,9.8
9.2,293,5.5,9,9.8
9.3,358,5.5,9,9.8
9.6,505,5.5,9,9.8
9,421,5.5,9,9.8
8.5,351,5.5,9,9.8
8.6,637,5.5,9,9.8
8.3,1207,7,8.2,9
8.5,405,5.5,9,9.8
9.1,700,5.5,9,9.8
9.2,164,8.5,9,9.5
9.2,355,5.5,9,9.8
8.4,189,5.5,9,9.8
8.4,1438,7,8.2,9
9.1,321,5.5,9,9.8
7.9,313,5.5,9,9.8
8.3,143,5.5,9,9.8
8.2,14,5.5,9,9.8
9.4,320,5.5,9,9.8
8.5,607,5.5,9,9.8
8.3,138,5.5,9,9.8
9.3,199,5.5,9,9.8
8.7,321,5.5,9,9.8
8.6,117,5.5,9,9.8
8.5,153,5.5,9,9.8
9,135,5.5,9,9.8
9.5,299,5.5,9,9.8
9.4,263,5.5,9,9.8
8.3,185,5.5,9,9.8
8.5,231,5.5,9,9.8
7.9,339,5.5,9,9.8
9.1,409,5.5,9,9.8
7.8,108,5.5,9,9.8
9.1,172,5.5,9,9.8
8.5,119,5.5,9,9.8
9.4,855,5.5,9,9.8
8.8,145,5.5,9,9.8
9.1,237,5.5,9,9.8
8,2271,7,8.2,9
8.4,272,5.5,9,9.8
8.5,341,5.5,9,9.8
9.1,757,5.5,9,9.8
8.6,726,5.5,9,9.8
9.1,431,5.5,9,9.8
8.8,396,5.5,9,9.8
8.5,163,8.5,9,9.5
8.7,205,5.5,9,9.8
9.4,899,5.5,9,9.8
9.3,406,5.5,9,9.8
8.9,428,5.5,9,9.8
9,168,5.5,9,9.8
8.9,127,5.5,9,9.8
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,8.5,9,9.5
,-,8.5,9,9.5
,-,8.5,9,9.5
7.9,86,8.5,9,9.5
,-,8.5,9,9.5
,-,7.4,8,9.1
8,169,8.5,9,9.5
,-,8.5,9,9.5
,-,8.5,9,9.5
,-,8.5,9,9.5
,-,5.5,9,9.8
,-,8.5,9,9.5
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,8.5,9,9.5
,-,5.5,9,9.8
,-,8.5,9,9.5
,-,7.4,8,9.1
,-,7.4,8,9.1
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,7,8.2,9
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,8.5,9,9.5
,-,5.5,9,9.8
,-,8.5,9,9.5
,-,8.5,9,9.5
,-,8.5,9,9.5
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,8.5,9,9.5
,-,8.5,9,9.5
,-,7,8.2,9
,-,5.5,9,9.8
,-,8.5,9,9.5
,-,5.5,9,9.8
,-,7,8.2,9
,-,5.5,9,9.8
,-,8.5,9,9.5
,-,8.5,9,9.5
,-,8.5,9,9.5
,-,8.5,9,9.5
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,7,8.2,9
,-,5.5,9,9.8
,-,8.5,9,9.5
,-,5.5,9,9.8
,-,7,8.2,9
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,8.5,9,9.5
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,8.5,9,9.5
,-,8.5,9,9.5
,-,8.5,9,9.5
,-,8.5,9,9.5
,-,5.5,9,9.8
,-,8.5,9,9.5
,-,8.5,9,9.5
,-,5.5,9,9.8
,-,7,8.2,9
,-,8.5,9,9.5
,-,7,8.2,9
,-,8.5,9,9.5
,-,5.5,9,9.8
,-,8.5,9,9.5
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,8.5,9,9.5
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,7,8.2,9
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,7,8.2,9
,-,5.5,9,9.8
,-,7.4,8,9.1
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,7,8.2,9
,-,8.5,9,9.5
,-,5.5,9,9.8
,-,8.5,9,9.5
,-,7,8.2,9
,-,8.5,9,9.5
,-,7,8.2,9
,-,7,8.2,9
,-,5.5,9,9.8
,-,7,8.2,9
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,8.5,9,9.5
,-,8.5,9,9.5
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,8.5,9,9.5
,-,5.5,9,9.8
,-,8.5,9,9.5
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,7.4,8,9.1
,-,5.5,9,9.8
,-,7,8.2,9
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,8.5,9,9.5
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,8.5,9,9.5
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,8.5,9,9.5
,-,7.4,8,9.1
,-,8.5,9,9.5
,-,8.5,9,9.5
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,8.5,9,9.5
,-,7,8.2,9
,-,8.5,9,9.5
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,7,8.2,9
,-,7.4,8,9.1
,-,8.5,9,9.5
,-,8.5,9,9.5
,-,8.5,9,9.5
,-,5.5,9,9.8
,-,8.5,9,9.5
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,7,8.2,9
,-,8.5,9,9.5
,-,8.5,9,9.5
,-,8.5,9,9.5
,-,5.5,9,9.8
,-,8.5,9,9.5
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,8.5,9,9.5
,-,8.5,9,9.5
,-,8.5,9,9.5
,-,7.4,8,9.1
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,7.4,8,9.1
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,8.5,9,9.5
,-,5.5,9,9.8
,-,8.5,9,9.5
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,8.5,9,9.5
,-,8.5,9,9.5
,-,8.5,9,9.5
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,8.5,9,9.5
,-,8.5,9,9.5
,-,8.5,9,9.5
,-,7,8.2,9
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,8.5,9,9.5
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,7,8.2,9
,-,5.5,9,9.8
,-,8.5,9,9.5
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,8.5,9,9.5
,-,8.5,9,9.5
,-,8.5,9,9.5
,-,5.5,9,9.8
,-,8.5,9,9.5
,-,8.5,9,9.5
,-,7.4,8,9.1
,-,7,8.2,9
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,8.5,9,9.5
,-,8.5,9,9.5
,-,5.5,9,9.8
,-,5.5,9,9.8
,-,5.5,9,9.8
